,ID,SharePointID,ProjectColor,ProjectName,ProjectType,CreateDate,CreatedBy,PlanStartDate,PlanFinishDate,StatusDate,ProjectDescription,DollarAmount,Status,WorkPerformedFor,RefrenceNumber,ProjectStage,CancelationReason,BuyerName,Hours,SensitivityIndicator,Division_x,SourcingCategory,ActualFinishDate,Unit,SLA,Planned,SolicitationStatus,LastUpdatedBy,LastUpdateDate,LastUpdatedField,CategoryID_x,FedReview,ITComponent,SolicitationNum,Grouping,CommodityCategory,SizeOfSpend,MultiAgency,BusinessProcessImpact,TechChange,PublicSafety,MarketRisk,Sensitivity,Leveragability,BuyerInitials,Score,LevelCalc,Division_y,CategoryID_y
10,7761,7761,Green,071B6600130 - DK Security - WIC Compliance Buys,CN,2018-08-20,EdgettC,2018-08-20,2018-10-29,2018-08-23,Termination of Contract,0.0,Change Notice to Terminate Contract was emailed to Contractor on 8/23/18.,391,GR 180000001820,Complete,0.0,CK1,6.0,False,PROF,Management Services,2018-08-27,0.0,50,No,N/A,,,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
11,8011,8011,Green,071B7700127 - Michigan Peer Review Organization - Informal Dispute Resolution (IDR) Services,CN,2018-10-12,EdgettC,2018-10-12,2019-01-07,2019-01-07,Addition of Bureau of Professional Licensing to the existing Contract with Bureau of Community & Health Systems to provide expert review services. See attached SOW from existing Contract with details.,300000.0,Category Analyst emailed Change Notice to the Contractor on 1/2/19.,641,GR 190000000121,Complete,0.0,CK1,7.0,False,PROF,Management Services,2019-01-07,0.0,50,No,N/A,floresc,2019-01-07 10:23:57,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
12,8111,8111,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2018-10-29,EdgettC,2018-10-29,2019-01-15,2018-11-16,To add the attached Scope of Work (SOW) to the existing contract and add the corresponding funding.,140000.0,Category Analyst sent a revised Change Notice to the Contractor on 11/16/2018.,391,GR 190000000172,Complete,0.0,CK1,7.0,False,PROF,Management Services,2018-11-20,0.0,50,No,N/A,floresc,2018-11-20 08:19:48,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
13,8150,8150,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2018-11-15,EdgettC,2018-11-15,2018-11-30,2018-11-16,To add the attached Scope of Work (SOW) to the existing contract.,0.0,Category Analyst emailed the Change Notice to the Contractor for their review and signature on 11/16/18.,391,GR 190000000413,Complete,0.0,CK1,7.0,False,PROF,Management Services,2018-11-20,0.0,50,No,N/A,floresc,2018-11-20 08:19:58,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
14,8608,8608,Green,071B7700127 - Michigan Peer Review Organization - Informal Dispute Resolution (IDR),CN,2019-03-19,EdgettC,2020-01-28,2020-03-31,2020-02-20,"Change Notice #2 to exercise option years and add telephonics to the Bureau of Community Health Systems (BCHS)
Approximate value $900,000",900000.0,Contractor signed CN. Ad Board Bid Tab submitted for 2/25 Ad Board.,641,GR 200000001066,Complete,0.0,DG1,7.0,False,PROF,Management Services,2020-02-25,0.0,50,Yes,N/A,glaserD,2020-02-25 13:11:10,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
15,8791,8791,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2019-05-06,EdgettC,2019-05-01,2019-05-17,2019-05-24,Modifying the change notice to reflect cost reductions obtained from the vendor by DHHS through FY19,0.0,"Completed this as CN 28, validated with Agency and Vendor. Sent final signed to Agency and Vendor, and DeEdra to execute.",491,19*1515,Complete,0.0,DG1,7.0,False,PROF,Management Services,2019-05-24,0.0,50,No,N/A,EdgettC,2019-06-24 14:35:28,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
16,8815,8815,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2019-05-15,EdgettC,2019-05-15,2019-05-31,2019-05-24,Update Attachment A based on call tiers,0.0,"Completed this as CN 27, validated with Agency and Vendor. Sent final signed to Agency and Vendor, and DeEdra to execute.",491,RQN 190000003139,Complete,0.0,DG1,7.0,False,PROF,Management Services,2019-05-24,0.0,50,No,N/A,glaserD,2019-05-24 08:48:53,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
17,9402,9402,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2019-09-26,EdgettC,2019-08-27,2019-09-30,2019-09-26,Updated proposed changes from Maximus,0.0,Assigned to Category Analyst,491,,Complete,0.0,DG1,7.0,False,PROF,Management Services,2019-09-26,0.0,50,No,N/A,glaserD,2019-10-04 13:58:33,", Project Stage",0.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
18,9410,9410,Green,190000000477 - Accenture - Ogranizational Change Management,CN,2019-09-30,EdgettC,2020-05-18,2020-06-30,2020-07-21,processing cancellation of contract for convenience.,0.0,Termination of MA is completed per JOB AID. Agency acknowledged that all invocies are paid.,472,GR 200000001981,Complete,0.0,DG1,4.0,False,PROF,Management Services,2020-07-30,0.0,50,Yes,N/A,glaserD,2020-07-30 09:41:49,", Project Stage",0.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
19,9432,9432,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2019-10-07,EdgettC,2019-10-07,2019-12-18,2019-11-04,"Per the law Healthy Michigan Plan changes are coming for beneficiaries to report 80 hours of work or other activities per month.  In addition, beneficiaries who have been in an HMP health plan for a cumulative of 48 months have additional requirements.",105000000.0,"Bid Tab created, approved and submitted to Ad Board for 11/5 approval; CN is signed by Maximus and awaiting Ad board approval for counter-signature by DTMB.",491,GR 190000002694,Complete,0.0,DG1,7.0,False,PROF,Management Services,2019-11-06,0.0,50,No,N/A,glaserD,2019-11-06 09:49:12,", Project Stage",0.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
20,9986,9986,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2020-02-03,EdgettC,2020-02-03,2020-04-13,2020-02-20,The purpose of this amendment is to extend some of the cost savings initiatives from CN#28 into part of FY20 and show when initiatives will end.,10500000.0,CN Signed by Vendor. Bid Tab sent to 2/25 Ad Board.,491,GR 190000001548,Complete,0.0,DG1,5.0,False,PROF,Management Services,2020-02-25,0.0,50,No,N/A,glaserD,2020-02-25 14:36:21,", Dollar Amount, Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
21,10013,10013,Green,Michigan Integrated Crisis and Access Line (MiCAL),RFP,2020-02-07,EdgettC,2020-05-11,2020-11-20,2020-11-30,This request is to provide Michigan Integrated Crisis and Access Line (MiCAL) Crisis Command Center Staffing Services.,7500000.0,"Contract is executed in SIGMA and with Contract Administrators, Agency and Contractor. QA document completed. CMP exemption is approved and processed. Insurance Cert is filed.",491,RQN 200000003362,Complete,0.0,DG1,150.0,False,PROF,Management Services,2020-12-07,0.0,138,No,New Bid,glaserD,2020-12-07 15:49:20,", Actual Finish Date, Project Stage",165.0,False,True,2000000001867,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
22,10147,10147,Green,19*0477 - Accenture - COMS Change Management,CN,2020-03-23,EdgettC,2020-03-23,2020-06-01,2020-04-02,Schedule A Updates,0.0,"Matt Lindeman created CN, had vendor sign and executed this on 3/31. Just finishing getting an updated insurance cert, but this CN is done otherwise.",472,GR 200000001027,Complete,0.0,DG1,4.0,False,PROF,Management Services,2020-03-31,0.0,50,No,N/A,glaserD,2020-04-02 09:06:34,", Status, Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
23,10465,10465,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2020-07-22,EdgettC,2020-07-22,2020-09-30,2020-08-05,Multiple changes to contract including adding and changing some call center tiers.,0.0,Assigned to Category Analyst,491,GR 200000002177,Complete,0.0,DG1,7.0,False,PROF,Management Services,2020-07-31,0.0,50,No,N/A,glaserD,2020-08-05 09:21:37,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
24,10543,10543,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2020-08-12,EdgettC,2020-08-12,2020-10-21,2020-08-12,add Tier 1 call center outreach support services for Healthy Michigan Plan beneficiaries related to the work and other activity requirements to reduce barriers to reporting and encourage better compliance.,94500000.0,"Executed as CN 30 in March 2020 from GR20*2694 for $10,500,000, but was approved for $105,000,000.00, so making adjustment in this project's dollar amount to correct by making the dollar amount",491,GR 200000001053,Complete,0.0,DG1,7.0,False,PROF,Management Services,2020-08-13,0.0,50,No,N/A,glaserD,2020-08-19 10:52:29,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
25,10660,10660,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2020-09-18,EdgettC,2020-09-18,2020-12-02,2020-09-18,"The purpose of this amendment is to add language about the conflict of interest section and to change the MI Bridges Support Help Desk to a 20 person, fixed pricing line for FY21.",0.0,Assigned to Category Analyst,491,GR 200000002688,Complete,0.0,DG1,7.0,False,PROF,Management Services,2020-09-23,0.0,50,No,N/A,glaserD,2020-09-23 09:19:21,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
26,11095,11095,Green,071B6600103 - Title Check - Title Search and Tax Forfeiture Services,CN,2020-12-14,EdgettC,2022-03-04,2022-04-30,2022-03-21,"Renewal, 2-1 year options available",260000.0,"3/21/22: CN has been signed by vendor, awaiting Ad Board approval on 4/12",271,22*1297,Active,0.0,MG1,7.0,False,PROF,Management Services,,0.0,50,Yes,N/A,GoveM,2022-03-21 13:04:09,", Status, Status Date",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
27,11098,11098,Green,Enrollment Broker Services,C-RFP,2020-12-14,EdgettC,2026-02-12,2026-09-30,,"Planned RFP with 18 months transition, replacing 071B1300215",0.0,,491,,Planned,0.0,SW2,160.0,False,PROF,Management Services,,0.0,165,Yes,New Bid,lugibihlc,2022-01-31 12:26:07,", Analyst",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
28,11099,11099,Green,Informal Dispute Resolution,RFP,2020-12-14,EdgettC,2022-06-22,2022-12-31,,"RFP planned with 90 days transition, replacing 071B7700127",0.0,,641,,Planned,0.0,SW2,140.0,False,PROF,Management Services,,0.0,138,Yes,New Bid,lugibihlc,2022-01-27 13:17:08,", Analyst",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
29,11114,11114,Green,20*1779 - Michigan 2-1-1 - 2-1-1 Statewide Support,CN,2020-12-14,EdgettC,2023-07-24,2023-09-30,,"renewal, 2-1 year options",0.0,,491,,Planned,0.0,SW2,7.0,False,PROF,Management Services,,0.0,50,Yes,N/A,lugibihlc,2022-01-31 12:16:47,", Analyst",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
30,11188,11188,Green,20*1779 - Michigan 2-1-1 - 2-1-1 Statewide Support,CN,2020-12-17,EdgettC,2020-12-14,2021-03-02,2021-01-04,SOW Addition planned,0.0,Confirming project with management.,001,GR 210000000517,Canceled,3.0,JY1,7.0,False,PROF,Management Services,,0.0,50,No,N/A,yeatesj,2021-01-04 13:41:15,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
31,11299,11299,Green,200000001779  - Michigan 211 - 211 Statewide Support,CN,2021-02-03,EdgettC,2021-02-03,2021-04-14,2021-03-09,"Due to the significant influx of vaccine related navigation requests, MI 211 will begin providing support for vaccination resource questions as well as vaccination scheduling.",552703.0,"Ad Board Approved on 3/2. CN countersigned and executed, MA updated with new dollar increase for DHHS's 211 Line. Customer provided with copy of executed CN 2, QA document updated.",491,GR 210000000770,Complete,0.0,DG1,7.0,False,PROF,Management Services,2021-03-03,0.0,50,No,N/A,glaserD,2021-03-11 08:38:31,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
32,11350,11350,Green,071B5500088 - Experian - Income Tax Refund Analysis Services,CN,2021-03-02,EdgettC,2021-03-02,2021-03-31,2021-03-29,3/19/2021: Executed CN#13,0.0,Assigned to Category Analyst,271,GR 210000001259,Complete,0.0,STZ,4.0,False,PROF,Management Services,2021-03-19,0.0,50,No,N/A,motzS,2021-03-29 16:16:22,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
33,11374,11374,Green,20*1179 - Michigan 2-1-1 - 211 Statewide Support,CN,2021-03-08,lugibihlc,2021-03-08,2021-05-14,2021-03-23,Add SOW for MI 211 will provide vaccination scheduling assistance for individuals who do not have access to the internet,9600000.0,Pending 3/30/2021 Ad Board Approval.,491,GR 210000001221,Complete,0.0,DG1,7.0,False,PROF,Management Services,2021-03-31,,50,No,N/A,glaserD,2021-04-01 09:04:08,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
34,11397,11397,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2021-03-16,lugibihlc,2021-03-16,2021-05-24,2021-03-23,This modification is needed to update company information MAXIMUS has as a subcontractor.,0.0,"Processing this CN is scheduled for 3/24, to send to vendor for signature.",491,GR 210000001146,Complete,0.0,DG1,4.0,False,PROF,Management Services,2021-03-24,,50,No,N/A,glaserD,2021-03-24 14:27:13,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
35,11496,11496,Green,21*0044 - Common Ground - MiCAL Crisis Command Call Center,CN,2021-04-06,lugibihlc,2024-01-22,2024-03-31,,"Renewal, 3-1 year options available",0.0,,491,,Planned,0.0,SW2,7.0,False,PROF,Management Services,,,50,Yes,N/A,lugibihlc,2022-01-31 12:20:09,", Analyst",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
36,11586,11586,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2021-04-29,lugibihlc,2021-07-01,2021-09-03,2021-07-09,Update the contract and pricing for the 5 Maximus systems groups going to the AWS Cloud,0.0,Completed 7/9,491,GR 21*2099,Complete,0.0,CE1,7.0,False,PROF,Management Services,2021-07-09,,50,No,N/A,lugibihlc,2021-07-09 08:13:03,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
37,11602,11602,Green,071B5500088 - Experian - Income Tax Refund Analysis Services,CN,2021-05-06,lugibihlc,2021-05-06,2021-05-31,2021-06-21,Treasury wishes to the exercise the remaining 30 days of the transition assistance language while contract is being negotiated,0.0,"Past: 5/10/2021 - Reviewed Request
Future: 5/25/2021 - Execute Amendment to extend end date
Ad Board 6/22/2021 - CN will be completed by 6/25/2021",271,GR 210000001674,Complete,0.0,CE1,4.0,False,PROF,Management Services,2021-05-26,,50,No,N/A,lugibihlc,2021-07-06 11:54:34,", Analyst, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
38,11698,11698,Green,071B5500088 - Experian - Income Tax Refund Analysis Services,CN,2021-06-08,lugibihlc,2021-06-08,2021-06-30,2021-06-21,Extend 1 month at a time until negotiations are completed. Going to Ad Board for 3 months to be approved.,0.0,Ad Board Pending 6/22/2021 - Buyer will prepare CN for Time only change.,271,,Complete,0.0,STZ,4.0,False,PROF,Management Services,2021-06-28,,50,No,N/A,lugibihlc,2021-07-06 11:56:39,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
39,11767,11767,Green,21*0044 - Common Ground - MiCAL Crisis Command Center Services,CN,2021-07-01,lugibihlc,2021-07-01,2021-09-10,2021-07-28,Add funds to augment the Michigan Crisis and Access Line; and 2) to add funds to accommodate the legislative boilerplate “First Responder Project” per Section 1911 of PA 166 of 2020. Also update SOW,6500000.0,Fully executed,491,GR 210000001734,Complete,0.0,CE1,7.0,False,PROF,Management Services,2021-07-28,,50,No,N/A,lugibihlc,2021-08-02 08:46:59,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
40,11876,11876,Green,20*1779 - Michigan 211 - 2-1-1 Statewide Support,CN,2021-08-09,lugibihlc,2021-08-09,2021-10-18,2021-09-29,A contract change notice 20000001779 with Michigan 211 Inc. is required to add an interface between 211 and MVAA per attached quote/SOW.,48500.0,Vendor approved of Change Notice.  Working on combining with other GR request into one change notice.,511,GR 210000002512,Complete,0.0,JY1,7.0,False,PROF,Management Services,2021-10-04,,50,No,N/A,yeatesj,2021-10-05 10:20:43,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
41,11938,11938,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2021-08-25,lugibihlc,2023-01-01,2023-03-31,,"Renewal, 5 options available",0.0,,491,,Planned,0.0,SW2,10.0,False,PROF,Management Services,,,50,Yes,N/A,lugibihlc,2022-01-31 12:27:57,", Analyst",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
42,11993,11993,Green,20*1779 - Michigan 2-1-1 - 2-1-1 Statewide Support,CN,2021-09-13,lugibihlc,2021-09-13,2021-11-22,2021-09-29,The purpose of this amendment is to add funds to the contract for FY22 for 211’s existing statement of work for MI Bridges/Integrated Service Delivery,0.0,Requesting confirmation from agency regarding the SOW information.,491,GR 210000002821,Complete,0.0,JY1,7.0,False,PROF,Management Services,2021-10-04,,50,No,N/A,yeatesj,2021-10-05 10:23:00,", Dollar Amount, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
43,12132,12132,Green,20*1779 (Michigan 2-1-1) - Additional funding and SOW language,CN,2021-10-20,samuelb,2021-10-20,2022-01-06,2021-11-01,Additional funding and SOW language,100000.0,"CN Drafted - pending issuance, e-siganture issue.",491,GR 22*113,Complete,0.0,SW2,3.0,False,PROF,Management Services,2021-11-04,,50,No,N/A,McKinleyS4,2021-11-08 08:10:45,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
44,12184,12184,Green,"21*0044 (Common Ground) - additional funding, language updates",CN,2021-11-04,samuelb,2021-11-04,2022-01-21,2021-12-20,Additional funding and language updates,1500000.0,"Bid Tab: 12-14-21
CN sent 11/23 for signature - Penidng Signature.",491,GR 22*207,Complete,0.0,SW2,4.0,False,PROF,Management Services,2021-12-21,,50,No,N/A,McKinleyS4,2021-12-21 15:17:50,", Actual Finish Date, Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
45,12364,12364,Green,Health Professional Recovery Program Administration Services,RFP,2022-01-05,lugibihlc,2022-01-05,2022-10-31,2022-03-21,Rebid of LARA MA 18*0211 Contract Establish monitoring program for impaired health professionals who are participating in an approved treatment program.,7097562.0,"3/15/22: Finishing drafting RFP document
3/21/22: Meeting with agency services to discuss IT related schedules on 3/23",641,RQN 22*2094,Active,0.0,MG1,150.0,False,PROF,Management Services,,,138,No,,Nakfoorj,2022-03-22 13:41:31,,165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
46,12408,12408,Green,071B1300215 - Maximus - Enrollment Broker Services,CN,2022-01-20,lugibihlc,2022-01-20,2022-03-30,2022-02-03,modify the statement of work,0.0,CN approved by PM and sent for signature on 2/4/2022.,491,GR 220000000717,Complete,0.0,SW2,7.0,False,PROF,Management Services,2022-02-07,,50,No,N/A,McKinleyS4,2022-02-07 07:53:11,", Project Stage",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
47,12877,12877,Green,20*1779 - Michigan 2-1-1 - 2-1-1 Statewide Support,CN,2022-02-23,lugibihlc,2022-02-23,2022-05-03,2022-03-21,The purpose of this amendment is to add funds and update the existing statement of work to implement and operationalize Connect Direct to provide direct video support in American Sign Language (ASL) to deaf Michigan residents,595200.0,"CN issued for Signature. Approved by DHHS Agency Services on 3/14/2022.
Ad Board: 4/26/2022",491,GR 220000001037,Active,0.0,SW2,7.0,False,PROF,Management Services,,,50,No,N/A,McKinleyS4,2022-03-21 07:34:26,", Status Date",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
48,12921,12921,Green,20*1779 - Michigan 2-1-1 - 2-1-1 Statewide Support,CN,2022-03-07,lugibihlc,2022-03-07,2022-05-13,2022-03-21,"The DMVA request when being billed for 211 services for the MVAA, invoices must be sent to DMVA-AccountsPayable@michigan.gov mailbox.  Documented on those invoices should be the correct DO DOC ID # for the MVAA services.",0.0,CN issued for Signature.,511,GR 210000002512,Active,0.0,SW2,4.0,False,PROF,Management Services,,,50,No,N/A,McKinleyS4,2022-03-21 07:38:37,", Status Date",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
49,12922,12922,Green,19*1422 - Smart Homes - Conference Room/Training Room Audio Visual Equipment,CN,2022-03-07,lugibihlc,2022-03-07,2022-05-13,2022-03-21,Add funds for purchase of audio-visual equipment for the state lab expansion.,149964.37,"Funds on 3/29 Ad Board
CN issued and Signed by the Contractor.",491,GR 220000001198,Active,0.0,SW2,7.0,False,PROF,Management Services,,,50,No,N/A,McKinleyS4,2022-03-21 13:25:01,", Status",165.0,False,False,,Business Services,Management Services,1,1,1,1,1,1,5,0,DG1,16,2,PROF,165
